house_id,square_feet,bedrooms,bathrooms,year_built,garage_cars,neighborhood,condition,price
HOUSE_100,3774,2,2.5,1953,3,Highlands,Fair,609104.09
HOUSE_101,4107,2,1.5,1975,1,Suburbs,Good,615997.96
HOUSE_102,1460,1,2.0,2007,2,Downtown,Good,343447.36
HOUSE_103,1894,1,1.0,1978,2,Suburbs,Good,347290.32
HOUSE_104,1730,1,3.0,1986,2,Waterfront,Good,492811.01
HOUSE_105,1695,3,1.5,2019,1,Waterfront,Fair,405493.96
HOUSE_106,4372,5,4.0,1967,2,Downtown,Fair,767670.31
HOUSE_107,3692,2,2.5,1991,3,Downtown,Good,637448.9
HOUSE_108,2238,2,4.0,1990,1,Downtown,Good,419090.4
HOUSE_109,2769,3,3.5,1987,1,Highlands,Good,498622.16
HOUSE_110,1066,2,1.5,1983,3,Highlands,Good,316591.99
HOUSE_111,1838,1,4.0,1966,1,Downtown,Excellent,417401.25
HOUSE_112,930,5,1.0,1986,2,Suburbs,Good,280211.27
HOUSE_113,2082,4,2.5,1974,1,Highlands,Good,479818.87
HOUSE_114,2735,2,2.0,1976,1,Highlands,Good,449720.61
HOUSE_115,4044,1,1.5,2006,2,Suburbs,Good,618777.78
HOUSE_116,3771,4,1.0,1980,1,Suburbs,Good,555210.16
HOUSE_117,3519,5,3.0,1955,2,Suburbs,Good,602370.8
HOUSE_118,4335,4,3.5,1989,1,Downtown,Good,738572.18
HOUSE_119,730,1,2.5,1961,2,Suburbs,Good,186880.96
HOUSE_120,2285,4,1.5,2002,1,Suburbs,Excellent,401694.65
HOUSE_121,3980,3,1.5,2020,1,Highlands,Excellent,719573.7
HOUSE_122,1369,4,2.0,1959,3,Suburbs,Excellent,375398.46
HOUSE_123,2991,2,2.0,1994,1,Highlands,Good,541227.37
HOUSE_124,2115,2,3.0,1966,2,Downtown,Good,444494.55
HOUSE_125,4085,3,3.5,1975,1,Suburbs,Good,608423.66
HOUSE_126,3453,1,3.0,2011,2,Downtown,Good,612165.4
HOUSE_127,3033,2,1.0,1995,1,Downtown,Good,534772.69
HOUSE_128,1815,5,1.0,2013,3,Highlands,Good,429735.31
