customer_id,age,tenure_months,monthly_charges,total_charges,contract_type,payment_method,internet_service,tech_support,churn
CUST_1000,56,16,57.88,928.66,Two-Year,Bank Transfer,DSL,Yes,1
CUST_1001,69,61,65.7,4012.39,Month-to-Month,Electronic Check,No,No,0
CUST_1002,46,64,80.4,5139.39,Month-to-Month,Bank Transfer,Fiber Optic,No,0
CUST_1003,32,63,70.23,4428.86,Two-Year,Credit Card,DSL,Yes,0
CUST_1004,60,69,73.99,5106.94,One-Year,Mailed Check,DSL,,1
CUST_1005,25,22,68.64,1500.96,Month-to-Month,Bank Transfer,No,Yes,1
CUST_1006,38,67,60.9,4080.16,One-Year,Bank Transfer,Fiber Optic,No,0
CUST_1007,56,26,97.19,2523.11,Two-Year,Electronic Check,DSL,No,1
CUST_1008,36,16,21.22,333.43,One-Year,Credit Card,Fiber Optic,No,0
CUST_1009,40,51,79.84,4060.38,One-Year,Bank Transfer,No,Yes,1
CUST_1010,28,57,76.55,4363.98,Month-to-Month,Electronic Check,DSL,No,0
CUST_1011,28,29,91.62,2649.18,One-Year,Bank Transfer,Fiber Optic,No,0
CUST_1012,41,69,79.9,5508.39,One-Year,Electronic Check,DSL,No,1
CUST_1013,53,47,102.68,4836.71,Two-Year,Electronic Check,DSL,No,1
CUST_1014,57,62,115.91,7192.74,Two-Year,Credit Card,Fiber Optic,No,1
CUST_1015,41,69,54.25,3733.46,Two-Year,Bank Transfer,No,No,0
CUST_1016,20,16,42.74,687.36,Month-to-Month,Credit Card,Fiber Optic,No,0
CUST_1017,39,48,62.36,2994.61,One-Year,Electronic Check,DSL,Yes,1
CUST_1018,19,39,48.79,1919.83,One-Year,Mailed Check,DSL,No,0
CUST_1019,41,33,81.5,2703.33,One-Year,Bank Transfer,DSL,No,1
CUST_1020,61,23,111.19,2542.03,One-Year,Mailed Check,Fiber Optic,No,1
CUST_1021,47,10,33.91,347.71,Two-Year,Bank Transfer,No,No,1
CUST_1022,55,69,30.08,2088.17,Month-to-Month,Credit Card,DSL,No,0
CUST_1023,19,34,45.6,1555.99,One-Year,Credit Card,DSL,Yes,1
CUST_1024,38,52,92.61,4812.37,Month-to-Month,Credit Card,DSL,No,1
CUST_1025,50,10,79.3,817.13,Month-to-Month,Credit Card,DSL,No,1
CUST_1026,29,19,30.22,580.69,One-Year,Credit Card,Fiber Optic,No,0
